coin,status,z_score,mean_price,std_price,batch_id
ethereum,normal,1.2007,1900.4994,1.8495,177
solana,normal,-1.1098,81.004,0.0396,177
binancecoin,normal,-0.0858,602.9552,0.5265,178
bitcoin,normal,1.9791,64997.46,48.7796,178
cardano,ANOMALIE,3.2876,0.2683,0.0005,178
ethereum,normal,1.2449,1900.472,1.8057,178
solana,normal,-1.0779,81.0016,0.0386,178
binancecoin,normal,-0.0535,602.9374,0.5125,179
bitcoin,normal,1.9291,64998.04,49.7421,179
cardano,ANOMALIE,3.3647,0.2683,0.0005,179
ethereum,normal,1.2737,1900.4542,1.7789,179
solana,normal,-1.0435,80.9994,0.0378,179
binancecoin,normal,0.0004,602.9198,0.4975,180
bitcoin,normal,1.6823,64998.4,50.2876,180
cardano,ANOMALIE,3.4506,0.2683,0.0005,180
ethereum,normal,1.0199,1900.426,1.7394,180
solana,normal,0.5915,80.9984,0.0365,180
binancecoin,normal,-0.5719,602.8962,0.483,185
bitcoin,normal,0.9045,64997.96,49.7968,185
cardano,ANOMALIE,3.5376,0.2683,0.0005,185
ethereum,normal,0.4073,1900.375,1.6817,185
solana,normal,0.642,80.9974,0.0352,185
binancecoin,normal,-0.5411,602.8726,0.4668,186
bitcoin,normal,0.9226,64997.52,49.2972,186
cardano,ANOMALIE,3.636,0.2683,0.0005,186
ethereum,normal,0.4542,1900.324,1.6204,186
solana,normal,0.698,80.9964,0.0338,186
binancecoin,normal,-0.5103,602.8518,0.4542,187
bitcoin,normal,0.9175,64997.66,49.416,187
cardano,ANOMALIE,3.7194,0.2682,0.0005,187
ethereum,normal,0.4865,1900.289,1.5848,187
solana,normal,0.7184,80.996,0.0334,187
binancecoin,normal,-0.4792,602.831,0.4404,188
bitcoin,normal,0.9125,64997.8,49.5342,188
cardano,ANOMALIE,3.8133,0.2682,0.0005,188
ethereum,normal,0.5208,1900.254,1.5476,188
solana,normal,0.7395,80.9956,0.033,188
binancecoin,normal,0.2907,602.8166,0.4245,189
bitcoin,normal,1.8252,64998.92,50.9968,189
cardano,ANOMALIE,3.9191,0.2682,0.0005,189
ethereum,normal,1.4887,1900.2486,1.5391,189
solana,normal,1.0564,80.9954,0.0328,189
binancecoin,normal,0.7696,602.8096,0.4163,194
bitcoin,normal,2.1213,65000.74,53.3913,194
cardano,ANOMALIE,4.0515,0.2682,0.0005,194
ethereum,normal,1.5858,1900.2686,1.5648,194
solana,ANOMALIE,4.2524,80.998,0.0404,194
binancecoin,normal,0.8028,602.8026,0.4078,195
bitcoin,normal,2.0035,65002.56,55.6234,195
cardano,ANOMALIE,4.199,0.2682,0.0004,195
ethereum,normal,1.5482,1900.2886,1.5898,195
solana,ANOMALIE,3.6235,81.0006,0.0468,195
binancecoin,normal,0.838,602.7956,0.3991,196
bitcoin,normal,1.8994,65004.38,57.712,196
cardano,ANOMALIE,4.3644,0.2681,0.0004,196
ethereum,normal,1.5125,1900.3086,1.6142,196
solana,ANOMALIE,3.1972,81.0032,0.0522,196
binancecoin,normal,0.8755,602.7886,0.39,197
bitcoin,normal,1.8065,65006.2,59.6721,197
cardano,ANOMALIE,4.5515,0.2681,0.0004,197
ethereum,normal,1.4783,1900.3286,1.6379,197
solana,normal,2.8828,81.0058,0.057,197
binancecoin,normal,0.4694,602.7806,0.3822,202
bitcoin,normal,1.5682,65008.0,61.2176,202
cardano,ANOMALIE,4.7162,0.2681,0.0004,202
ethereum,normal,0.5929,1900.3288,1.638,202
solana,normal,1.5956,81.007,0.0583,202
binancecoin,normal,0.5039,602.772,0.3731,203
bitcoin,normal,1.5037,65009.76,62.6701,203
cardano,ANOMALIE,4.9012,0.2681,0.0004,203
ethereum,normal,0.5946,1900.3268,1.6368,203
solana,normal,1.531,81.0086,0.0597,203
